"
                            باشگاه بدنسازی و آمادگی جسمانی آقایان و بانوان- ارائه برنامه ورزشی - داروها و مکمل های مجاز - کاهش و یا افزایش وزن زیر نظر قهرمان جهان 
                            
",حمید حسن بیگی,33833729,,منطقه 14,"
                           پل 4 بلوار ابوذر - خ علامه امینی جنوبی - نبش ک دهم  
                        ",,
"
                            قهوه فروشی
                            
",کاظم کیهانی,77075825,9120842029,منطقه 4,"
                           تهرانپارس - قنات کوثر - مجتمع تجاری شهرک امید  پلاک: 42/1 
                        ",,
"
                            رگال و مانکن
                            
",پورسخائی,66746496,,منطقه 12,"
                           م حسن آباد- ضلع شمال شرقی  پلاک: 8 
                        ",,
"
                            مرکز پخش ماشین آلات راهسازی و کشاورزی و صنعتی
                            
",علی چیوایی,66655961,9124193089,منطقه 9,"
                           سه راه آذری - 45 متری زرند - ایستگاه حسینی  پاساژ راهسازان   پلاک: 10 
                        ",,
"
                            عرضه زعفران بصورت کلی و جزئی
                            
",مهدی  قصابی,(دفتر تهران: 55635992-55160690)-(دفتر مرکزی: 05625222762)-(دفتر مشهد: 05133438038-05133438039),9121167483,منطقه 12,"
                           بازار، خ  15خرداد، پله نوروزخان، پاساژ صلحی، ط اول، پلاک 60، دفترمرکزی: خراسان جنوبی، قاین، خ امام، جنب بانک سپه، پلاک90، دفترمشهد: خ17شهریور، پاساژ کیمیای2، بازار زعفران، پلاک 361 
                        ",,
"
                            انجام ایزوگام، قیرگونی و آسفالت
                            
",رضا رحمانی,-,9123161427,حومه تهران,"
                           بومهن، بلوار امام، نرسیده به پل رودخانه، جنب کوچه قادری  پلاک: 682 
                        ",,
"
                            ساخت قفسه های پیچ ومره ای وقفسه مشبک وانواع نردبان وصندوق نسوز و انواع جا ابزاری پلاستیکی 
                            
",محمد  عجمی,33904463-33905056,,منطقه 12,"
                           15خرداد ابتدای پامنار   پلاک: 10 
                        ",,
"
                            فرآورده های نسوز و شیلنگ ، نخ نسوز سفید و گرافیتی
                            
",رضا غفاری,33933013,9122075863,منطقه 12,"
                           خ امیرکبیر - ناظم الاطباء جنوبی - روبروی پاساژ سبحان  پلاک: 58 
                        ",,
"
                            سونوگرافی و رادیولوژی دیجیتال پانورکس
                            
",دکتر مظهری و دکتر اخوان,88698280-88697479,,منطقه 2,"
                           شهرک غرب، ابتدای بلوارفرحزادی، ساختمان صدف   پلاک: 1 
                        ",,
"
                            فنرسازی - تولیدکننده انواع فنرهای فولادی، استیل و تسمه ای با دستگاه CNC
                            
",ابوالفضل محمدخانی,36623410,9125353097,منطقه 14,"
                           میدان خراسان، خ خاوران، نبش سه راه هاشم آباد، روبروی فرهنگسرای خاوران  پلاک: 572 
                        ",,
"
                            فروش مبل راحتی، سرویس خواب، میز ال سی دی 
                            
",علی  رستمی,66675200-66675201,,منطقه 18,"
                           یافت آباد شرقی- بازار مبل خلیج فارس طبقه زیرهمکف، پلاک 1 
                        ",,
"
                            تعمیر کلیه لوازم صوتی و تصویری
                            
",احمد حسینی نیا,77476715,9125588064,منطقه 14,"
                           خ پیروزی، نرسیده به خ پرستار،  پاساژ کامران طبقه زیرین  پلاک: 18 
                        ",,
"
                            پاکت
                            
",سید عباس جهان مراد نوری,33940585-33110553,,منطقه 12,"
                           سعدی شمالی- کوچه زوارئیان پاساژ گوهرین طبقه همکف  پلاک: 5 
                        ",,
"
                            پلاسکو مهربانی
                            
",اکبر  مهربانی,66832054,9198168908,منطقه 10,"
                           خ آزادی - خ جیحون ,پائینتر از دامپزشکی,پلاک 570  پلاک: 570 
                        ",دارد,دارد
"
                            رنگ و ابزار
                            
",علیرضا و مهدی دهباشی,55705442,,منطقه 17,"
                           فلاح، 20متری ابوذر، بین خ اسدی و بدخشان  پلاک: 457 
                        ",,
"
                            لوازم یدکی تراکتور، کشاورزی
                            
",مراد حیدریان,33969839,,منطقه 12,"
                           خ سعدی جدید، بلوک 3 غربی پاساژ چراغ برق طبقه 4+  پلاک: 703 
                        ",,
"
                            امداد خودرو
                            
",,٦٦٧١٠٧١٠,,منطقه 12,"
                           تهران - خ. حافظ - م. حسن آباد - خ. فياض بخش - پ. ٣٧ 
                        ",,
"
                            انتشارات 
                            
",سیف اله هاشمی,22890627,,منطقه 1,"
                           پاسداران مقابل خ گل نبی   پلاک: 133 
                        ",,
"
                            بورس انواع حوله -پتو - روتختی -کالای خواب - ملزومات کامل حج و لباس احرام مردانه و زنانه 
                            
",محمدجواد  حاجی عبدالعلی,( انبار: 55624597-55898396-55155029-55155030) - ( فروشگاه: 55617980-55626236-55613852),9123573449,منطقه 12,"
                           انبار :بازار بزرگ - نرسیده به چهارسوق بزرگ - انتهای دالان سوم حاج حسن -پ5 ، مغازه : بازار بزرگ - جنب مسجد امام -پ111 
                        ",,
"
                            توزیع انواع سیم بکسل، زنجیر، جرثقیل و اتصالات
                            
",محمد تنباکوسازان,55402982-55425637-09396608383,9124247400,منطقه 11,"
                           میدان قزوین، خ قزوین، خ غفاری  پلاک: 5 
                        ",,دارد
"
                            تم تولد(دخترانه، پسرانه، بزرگسال)، گریم کودک، کیک فانتزی، ست لوازم تولد و سیسمونی ، لباس، بادکنک، دستمال، سفره، نی، چنگال، ریسه و...
                            
",مظفری,77481375,9352697782,منطقه 14,"
                           خ پیروزی، خ پنجم نیروی هوایی، فلکه دوم، فرعی 5/30 ،  پاساژ ولیعصر  پلاک: 36 
                        ",,
"
                            روزنامه
                            
",,88946392,,منطقه 6,"
                           خ ولیعصر-بالاترزرتشت-کوچه نوربخش-پلاک127 
                        ",,
"
                            دارالترجمه 
                            
",نوربخش بروجردی,77277779,,منطقه 4,"
                           ضلع جنوب شرقی میدان رسالت، ابتدای خیابان شهید بابالو  پلاک: 193 طبقه اول واحد 1
                        ",,
"
                            تجهیزات آزمایشگاهی
                            
",محمدعلی باطنی,88938397,,منطقه 6,"
                           ولیعصر - روبروی وزارت بازرگانی  پاساژ  کامپیوتر ایران  طبقه نیم طبقه اول  پلاک:  90 
                        ",,
"
                            عرضه لوازم لوکس و تزئینی منزل و لوستر
                            
",علی سلیمانی,88515104-88534144-88534145,9121278583,منطقه 7,"
                           خ شریعتی، نرسیده به پل سیدخندان، روبروی ساختمان مخابرات، نبش کوچه اشراقی   پلاک: 2 
                        ",,
"
                            عرضه انواع فرش ماشینی
                            
",محمدرضا حیدرزاده,33549149,,منطقه 12,"
                           خ مصطفی خمینی ، نرسیده به چ سیروس  پاساژ سرای ابریشم طبقه منفی یک  پلاک: 9 
                        ",,
"
                            قطعات سرد خانه و چیلر، تهیه و توزیع قطعات، طراحی و اجرا
                            
",محمدامین خلج,77637008-77614715,9121573802,منطقه 11,"
                           خیابان انقلاب، پیچ شمیران، خیابان شهید نور محمدی (تنکابن سابق) پلاک 92 
                        ",,
"
                            تولید و پخش زعفران(با 30 سال سابقه استاندارد و مجوز بهداشت)
                            
",قاسم سیدصالحی,55629655- همراه:09121162014,,منطقه 12,"
                           پانزده خرداد، بازار نوروزخان، سرای صلحی، ط اول، پ72 
                        ",,
"
                            قالیشویی
                            
",احمد ایزدی,33691354-33691268-33691186,9121180481,منطقه 15,"
                           خ خاوران، روبروی نبردجنوبی، خ ولی بیات  پلاک: 54 
                        ",,
"
                            آسایشگاه سالمندان-آسایشگاه عمومی
                            
",,۱۲-  ۲۲۰۷۰۶۹۶,,منطقه 2,"
                           سعادت آباد میدان کاج خ علامه طباطبائی خ ۱۸ متری شرقی    پلاک: 80 
                        ",,
"
                            پمپ
                            
",غلامرضا عابدینی,33916303,,منطقه 12,"
                           سعدی جنوبی  پاساژ صدیی نژاد  پلاک: 86 
                        ",,
"
                            عایق دور لوله گاز و آب
                            
",علی حسنی,33962040,,منطقه 12,"
                           خیام مقابل پارک شهر  پاساژ خیام طبقه دوم  پلاک: 290 
                        ",,
"
                            ماشین آلات صنعتی، کشاورزی، ساختمانی و لوازم یدکی مربوطه
                            
",حاج محمد منتظرصاحب,33927872-33906021,9124175636,منطقه 12,"
                           سعدی جنوبی، روبروی بانک ملی کوچه فخرایی، ابتدای کوچه درختی  پلاک: 5 
                        ",,
"
                            بورس انواع پارچه های مجلسی -لباس شب - نامزدی - کت و دامن 
                            
",اصغر  فلاحی,55824621,9197271258,منطقه 19,"
                           عبدل آباد - خ احسانی - بین کوچه 21 و 23  پلاک: 146 
                        ",,
"
                            تعمیر انواع دوربین عکاسی و فیلمبرداری
                            
",امیر نوری,66704453,,منطقه 12,"
                           جمهوری، ساختمان آلومینیوم طبقه 3 واحد318 
                        ",,
"
                            آلبوم
                            
",مصطفی شبیریان,88523728,,منطقه 7,"
                           سهروردی شمالی - بالاتراز عباس آباد  کوچه کوروش پاساژ کوروش 
                        ",,
"
                            نمایندگی تشکهای برتر ایرانی(رویا، خوشخواب، رویال، تن تاچ تحت لیسانس  Boyteks (TURKEY)، طبی، طبی فنری، اسفنجی، پاکتی و مموری فوم) ، پرناسای تحت لیسانس MEKA (ITALY)
                            
",نعمت قهرمانی,66695258,9383823407,منطقه 17,"
                           بازار مبل یافت آباد، جنب پاساژ برنا، روبروی بانک دی  پلاک: 155 
                        ",,
"
                            خرید کتابهای ارزان و نایاب و کم یاب، تعویض کتابهای های خود با کتب دیگر 
                            
",سید محمد بحرینیان,66177907-66177892,09124470131-09384607743,منطقه 6,"
                           خ انقلاب اسلامی- نرسیده به چهار راه ولی عصر-ابتدای خ شهیدمظفرشمالی- پ 68 
                        ",,
